"";"study";"condition_arm1";"condition_arm2";"multi_arm1";"multi_arm2";"outcome_type";"instrument";"rating";"construct";"time_weeks";"time";"mean_arm1";"sd_arm1";"n_arm1";"mean_arm2";"sd_arm2";"n_arm2";"mean_change_arm1";"mean_change_arm2";"sd_change_arm1";"sd_change_arm2";"n_change_arm1";"n_change_arm2";"dich_paper";"event_arm1";"event_arm2";"totaln_arm1";"totaln_arm2";"precalc_g";"precalc_g_se";"precalc_log_rr";"precalc_log_rr_se";"other_stat";"baseline_m_arm1";"baseline_sd_arm1";"baseline_n_arm1";"baseline_m_arm2";"baseline_sd_arm2";"baseline_n_arm2";"rand_arm1";"rand_arm2";"attr_arm1";"attr_arm2";"rand_ratio";"year";"sg";"ac";"ba";"itt";"rob";"full_ref";"format";"clinical_interview_diagnosis";"clinical_diagnosis_interview";"cbt";"guided";".id";".g";".g_se";".log_rr";".log_rr_se";".event_arm1";".event_arm2";".totaln_arm1";".totaln_arm2"
"128";"Jacobi, 2012";"cbt";"wl";NA;NA;"msd";"edeq r";"self-report";"restraint";24;"fu";1,4;1,1;51;2;1,3;52;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"?";"?";"1";0;"high";"Jacobi, C., Völker, U., Trockel, M. T., & Taylor, C. B. (2012). Effects of an Internet-based intervention for subthreshold eating disorders: a randomized controlled trial. Behaviour research and therapy, 50(2), 93-99.";"web";"no";NA;"yes";"yes";"Jacobi_2012_msd_edeqr_fu_24_self-report_cbt_wl_NA_NA";0,494158907492808;0,200104630457782;NA;NA;NA;NA;NA;NA
"129";"Jacobi, 2012";"cbt";"wl";NA;NA;"msd";"edeq ec";"self-report";"eating concerns";24;"fu";0,8;0,7;51;1;0,9;52;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"?";"?";"1";0;"high";"Jacobi, C., Völker, U., Trockel, M. T., & Taylor, C. B. (2012). Effects of an Internet-based intervention for subthreshold eating disorders: a randomized controlled trial. Behaviour research and therapy, 50(2), 93-99.";"web";"no";NA;"yes";"yes";"Jacobi_2012_msd_edeqec_fu_24_self-report_cbt_wl_NA_NA";0,24592330250784;0,197829766410721;NA;NA;NA;NA;NA;NA
"130";"Jacobi, 2012";"cbt";"wl";NA;NA;"msd";"edeq";"self-report";"ed psychopathology";24;"fu";1,6;1;51;2,1;1;52;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"?";"?";"1";0;"high";"Jacobi, C., Völker, U., Trockel, M. T., & Taylor, C. B. (2012). Effects of an Internet-based intervention for subthreshold eating disorders: a randomized controlled trial. Behaviour research and therapy, 50(2), 93-99.";"web";"no";NA;"yes";"yes";"Jacobi_2012_msd_edeq_fu_24_self-report_cbt_wl_NA_NA";0,496277915632754;0,200130468947219;NA;NA;NA;NA;NA;NA
"131";"Jacobi, 2012";"cbt";"wl";NA;NA;"msd";"gsi";"self-report";"psychiatric distress";24;"fu";0,5;0,4;51;0,5;0,4;52;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"?";"?";"1";0;"high";"Jacobi, C., Völker, U., Trockel, M. T., & Taylor, C. B. (2012). Effects of an Internet-based intervention for subthreshold eating disorders: a randomized controlled trial. Behaviour research and therapy, 50(2), 93-99.";"web";"no";NA;"yes";"yes";"Jacobi_2012_msd_gsi_fu_24_self-report_cbt_wl_NA_NA";0;0,197075143962967;NA;NA;NA;NA;NA;NA
"132";"Jacobi, 2012";"cbt";"wl";NA;NA;"msd";"edeq obe";"self-report";"obe frequency";24;"fu";0;0,2;51;0,2;0,8;52;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"?";"?";"1";0;"high";"Jacobi, C., Völker, U., Trockel, M. T., & Taylor, C. B. (2012). Effects of an Internet-based intervention for subthreshold eating disorders: a randomized controlled trial. Behaviour research and therapy, 50(2), 93-99.";"web";"no";NA;"yes";"yes";"Jacobi_2012_msd_edeqobe_fu_24_self-report_cbt_wl_NA_NA";0,33896642740844;0,198506343878142;NA;NA;NA;NA;NA;NA
"133";"Jacobi, 2012";"cbt";"wl";NA;NA;"msd";"edeq sc";"self-report";"shape concern";24;"fu";2,4;1,3;51;2,9;1,4;52;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"?";"?";"1";0;"high";"Jacobi, C., Völker, U., Trockel, M. T., & Taylor, C. B. (2012). Effects of an Internet-based intervention for subthreshold eating disorders: a randomized controlled trial. Behaviour research and therapy, 50(2), 93-99.";"web";"no";NA;"yes";"yes";"Jacobi_2012_msd_edeqsc_fu_24_self-report_cbt_wl_NA_NA";0,367226940379008;0,198753887347563;NA;NA;NA;NA;NA;NA
"134";"Jacobi, 2012";"cbt";"wl";NA;NA;"msd";"wcs";"self-report";"weight concern";24;"fu";49,4;17,2;51;53,1;16,1;52;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"?";"?";"1";0;"high";"Jacobi, C., Völker, U., Trockel, M. T., & Taylor, C. B. (2012). Effects of an Internet-based intervention for subthreshold eating disorders: a randomized controlled trial. Behaviour research and therapy, 50(2), 93-99.";"web";"no";NA;"yes";"yes";"Jacobi_2012_msd_wcs_fu_24_self-report_cbt_wl_NA_NA";0,22051977738183;0,197682142752121;NA;NA;NA;NA;NA;NA
"135";"Jacobi, 2012";"cbt";"wl";NA;NA;"msd";"edeq wc";"self-report";"weight concern";24;"fu";1,9;1,2;51;2,4;1,2;52;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"?";"?";"1";0;"high";"Jacobi, C., Völker, U., Trockel, M. T., & Taylor, C. B. (2012). Effects of an Internet-based intervention for subthreshold eating disorders: a randomized controlled trial. Behaviour research and therapy, 50(2), 93-99.";"web";"no";NA;"yes";"yes";"Jacobi_2012_msd_edeqwc_fu_24_self-report_cbt_wl_NA_NA";0,413564929693962;0,199201869348806;NA;NA;NA;NA;NA;NA
"136";"Jacobi, 2018";"fbt";"wl";NA;NA;"msd";"ede r";"interview";"restraint";6;"post";0,86;1,27;16;1,27;1,68;26;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";"?";"0";1;"high";"Jacobi, C., Hütter, K., Völker, U., Möbius, K., Richter, R., Trockel, M., ... & Taylor, C. B. (2018). Efficacy of a parent-based, indicated prevention for anorexia nervosa: randomized controlled trial. Journal of Medical Internet Research, 20(12), e296.";"web";"no";NA;"yes";"yes";"Jacobi_2018_msd_eder_post_6_interview_fbt_wl_NA_NA";0,261362752970258;0,319071053227555;NA;NA;NA;NA;NA;NA
"137";"Jacobi, 2018";"fbt";"wl";NA;NA;"msd";"ede de";"interview";"driven exercise";6;"post";24,4;5,77;5;11;10,39;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";"?";"0";1;"high";"Jacobi, C., Hütter, K., Völker, U., Möbius, K., Richter, R., Trockel, M., ... & Taylor, C. B. (2018). Efficacy of a parent-based, indicated prevention for anorexia nervosa: randomized controlled trial. Journal of Medical Internet Research, 20(12), e296.";"web";"no";NA;"no";"yes";"Jacobi_2018_msd_edede_post_6_interview_fbt_wl_NA_NA";-1,39974644860601;0,662319663623794;NA;NA;NA;NA;NA;NA
