;study;condition_arm1;condition_arm2;multi_arm1;multi_arm2;outcome_type;instrument;rating;construct;time_weeks;time;mean_arm1;sd_arm1;n_arm1;mean_arm2;sd_arm2;n_arm2;mean_change_arm1;mean_change_arm2;sd_change_arm1;sd_change_arm2;n_change_arm1;n_change_arm2;dich_paper;event_arm1;event_arm2;totaln_arm1;totaln_arm2;precalc_g;precalc_g_se;precalc_log_rr;precalc_log_rr_se;other_stat;baseline_m_arm1;baseline_sd_arm1;baseline_n_arm1;baseline_m_arm2;baseline_sd_arm2;baseline_n_arm2;rand_arm1;rand_arm2;attr_arm1;attr_arm2;rand_ratio;year;sg;ac;ba;itt;rob;full_ref;format;clinical_interview_diagnosis;clinical_diagnosis_interview;cbt;guided;.id;.g;.g_se;.log_rr;.log_rr_se;.event_arm1;.event_arm2;.totaln_arm1;.totaln_arm2
170;Linardon, 2023;cbt;wl;cbt (web);wl;msd;edeq comp;self-report;compensatory behavior;4,0;post;2,01;3,58;92,0;4,22;9,09;155,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;sr;1;low;Linardon, J., Shatte, A., McClure, Z., & Fuller-Tyszkiewicz, M. (2023). A broad v. focused digital intervention for recurrent binge eating: a randomized controlled non-inferiority trial. Psychological Medicine, 53(10), 4580-4591.;web;no;;yes;no;Linardon_2023_msd_edeqcomp_post_4_self-report_cbt_wl_cbt(web)_wl;0,292600710635809;0,132270764953698;;;;;;
171;Linardon, 2023;cbt;wl;cbt (web);wl;msd;phq2;self-report;depression;4,0;post;2,61;1,88;92,0;2,94;1,8;155,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;sr;1;low;Linardon, J., Shatte, A., McClure, Z., & Fuller-Tyszkiewicz, M. (2023). A broad v. focused digital intervention for recurrent binge eating: a randomized controlled non-inferiority trial. Psychological Medicine, 53(10), 4580-4591.;web;no;;yes;no;Linardon_2023_msd_phq2_post_4_self-report_cbt_wl_cbt(web)_wl;0,179763242027273;0,131859756937276;;;;;;
172;Linardon, 2023;cbt;wl;cbt (web);wl;msd;edeq r;self-report;restraint;4,0;post;1,97;1,45;92,0;3,07;1,54;155,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;sr;1;low;Linardon, J., Shatte, A., McClure, Z., & Fuller-Tyszkiewicz, M. (2023). A broad v. focused digital intervention for recurrent binge eating: a randomized controlled non-inferiority trial. Psychological Medicine, 53(10), 4580-4591.;web;no;;yes;no;Linardon_2023_msd_edeqr_post_4_self-report_cbt_wl_cbt(web)_wl;0,727594216048115;0,135644471615375;;;;;;
173;Linardon, 2023;cbt;wl;cbt (web);wl;msd;edeq ec;self-report;eating concerns;4,0;post;2,43;1,42;92,0;3,42;1,25;155,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;sr;1;low;Linardon, J., Shatte, A., McClure, Z., & Fuller-Tyszkiewicz, M. (2023). A broad v. focused digital intervention for recurrent binge eating: a randomized controlled non-inferiority trial. Psychological Medicine, 53(10), 4580-4591.;web;no;;yes;no;Linardon_2023_msd_edeqec_post_4_self-report_cbt_wl_cbt(web)_wl;0,750139988490935;0,13589437277944;;;;;;
174;Linardon, 2023;cbt;wl;cbt (web);wl;msd;edeq;self-report;ed psychopathology;4,0;post;2,93;1,27;92,0;3,85;0,96;155,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;sr;1;low;Linardon, J., Shatte, A., McClure, Z., & Fuller-Tyszkiewicz, M. (2023). A broad v. focused digital intervention for recurrent binge eating: a randomized controlled non-inferiority trial. Psychological Medicine, 53(10), 4580-4591.;web;no;;yes;no;Linardon_2023_msd_edeq_post_4_self-report_cbt_wl_cbt(web)_wl;0,844917640964961;0,13702258449426;;;;;;
175;Linardon, 2023;cbt;wl;cbt (web);wl;msd;phq4;self-report;psychiatric distress;4,0;post;5,68;3,34;92,0;6,22;3,17;155,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;sr;1;low;Linardon, J., Shatte, A., McClure, Z., & Fuller-Tyszkiewicz, M. (2023). A broad v. focused digital intervention for recurrent binge eating: a randomized controlled non-inferiority trial. Psychological Medicine, 53(10), 4580-4591.;web;no;;yes;no;Linardon_2023_msd_phq4_post_4_self-report_cbt_wl_cbt(web)_wl;0,166454627732368;0,131824166160522;;;;;;
176;Linardon, 2023;cbt;wl;cbt (web);wl;msd;edeq obe;self-report;obe frequency;4,0;post;10,62;10,69;95,0;17,78;16,16;155,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;sr;1;low;Linardon, J., Shatte, A., McClure, Z., & Fuller-Tyszkiewicz, M. (2023). A broad v. focused digital intervention for recurrent binge eating: a randomized controlled non-inferiority trial. Psychological Medicine, 53(10), 4580-4591.;web;no;;yes;no;Linardon_2023_msd_edeqobe_post_4_self-report_cbt_wl_cbt(web)_wl;0,497982824569811;0,132200298937817;;;;;;
177;Linardon, 2023;cbt;wl;cbt (web);wl;msd;edeq sc;self-report;shape concern;4,0;post;3,76;1,61;92,0;4,68;1,01;155,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;sr;1;low;Linardon, J., Shatte, A., McClure, Z., & Fuller-Tyszkiewicz, M. (2023). A broad v. focused digital intervention for recurrent binge eating: a randomized controlled non-inferiority trial. Psychological Medicine, 53(10), 4580-4591.;web;no;;yes;no;Linardon_2023_msd_edeqsc_post_4_self-report_cbt_wl_cbt(web)_wl;0,724193637963265;0,135607401668507;;;;;;
178;Linardon, 2023;cbt;wl;cbt (web);wl;msd;edeq wc;self-report;weight concern;4,0;post;3,55;1,58;92,0;4,23;1,03;155,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;sr;1;low;Linardon, J., Shatte, A., McClure, Z., & Fuller-Tyszkiewicz, M. (2023). A broad v. focused digital intervention for recurrent binge eating: a randomized controlled non-inferiority trial. Psychological Medicine, 53(10), 4580-4591.;web;no;;yes;no;Linardon_2023_msd_edeqwc_post_4_self-report_cbt_wl_cbt(web)_wl;0,536933132382628;0,13382215389166;;;;;;
179;Linardon, 2023;cbt;wl;cbt (app);wl;abstinence;zero oBEs;self-report;binge abstinence;4,0;post;;;;;;;;;;;;;;6,0;1,0;199,0;202,0;;;;;;;;;;;;;;;;;;1;1;sr;1;low;Linardon, J., Shatte, A., McClure, Z., & Fuller-Tyszkiewicz, M. (2023). A broad v. focused digital intervention for recurrent binge eating: a randomized controlled non-inferiority trial. Psychological Medicine, 53(10), 4580-4591.;web;no;;yes;no;Linardon_2023_abstinence_zerooBEs_post_4_self-report_cbt_wl_cbt(app)_wl;1,00834069777433;0,598089742345439;1,80672234190477;1,07549572104636;6,0;1,0;199,0;202,0
180;Linardon, 2023;cbt;wl;cbt (app);wl;msd;gad2;self-report;anxiety;4,0;post;2,77;1,66;120,0;3,5;1,96;155,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;sr;1;low;Linardon, J., Shatte, A., McClure, Z., & Fuller-Tyszkiewicz, M. (2023). A broad v. focused digital intervention for recurrent binge eating: a randomized controlled non-inferiority trial. Psychological Medicine, 53(10), 4580-4591.;app;no;;yes;no;Linardon_2023_msd_gad2_post_4_self-report_cbt_wl_cbt(app)_wl;0,396667918536494;0,122770553012227;;;;;;
181;Linardon, 2023;cbt;wl;cbt (app);wl;msd;edeq comp;self-report;compensatory behavior;4,0;post;1,35;2,83;122,0;4,22;9,09;155,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;sr;1;low;Linardon, J., Shatte, A., McClure, Z., & Fuller-Tyszkiewicz, M. (2023). A broad v. focused digital intervention for recurrent binge eating: a randomized controlled non-inferiority trial. Psychological Medicine, 53(10), 4580-4591.;app;no;;yes;no;Linardon_2023_msd_edeqcomp_post_4_self-report_cbt_wl_cbt(app)_wl;0,405601027828222;0,122257578560039;;;;;;
